session_id,step,current_call,next_call,endpoint,method,url_params,body,user_segment,device,hour,is_last_step
1,1,GET /products/filter,"POST /products/filter  body={""gender"":""female"",""category"":""dress"",""price"":""low""}",/products/filter,GET,,,browser,mobile,23,False
1,2,"POST /products/filter  body={""gender"":""female"",""category"":""dress"",""price"":""low""}",GET /products?id=47,/products/filter,POST,,"{""gender"":""female"",""category"":""dress"",""price"":""low""}",browser,mobile,23,False
1,3,GET /products?id=47,GET /cart?product_id=47,/products,GET,id=47,,browser,mobile,23,False
1,4,GET /cart?product_id=47,END,/cart,GET,product_id=47,,browser,mobile,23,True
2,1,GET /products,GET /products?id=88,/products,GET,,,new_visitor,desktop,1,False
2,2,GET /products?id=88,GET /cart?product_id=88,/products,GET,id=88,,new_visitor,desktop,1,False
2,3,GET /cart?product_id=88,END,/cart,GET,product_id=88,,new_visitor,desktop,1,True
3,1,GET /products,GET /products?id=105,/products,GET,,,new_visitor,mobile,17,False
3,2,GET /products?id=105,GET /cart?product_id=105,/products,GET,id=105,,new_visitor,mobile,17,False
3,3,GET /cart?product_id=105,END,/cart,GET,product_id=105,,new_visitor,mobile,17,True
4,1,GET /products,GET /products?id=73,/products,GET,,,new_visitor,desktop,0,False
4,2,GET /products?id=73,GET /cart?product_id=73,/products,GET,id=73,,new_visitor,desktop,0,False
4,3,GET /cart?product_id=73,GET /checkout,/cart,GET,product_id=73,,new_visitor,desktop,0,False
4,4,GET /checkout,"POST /payment  body={""amount"": 49.99, ""method"": ""card""}",/checkout,GET,,,new_visitor,desktop,0,False
4,5,"POST /payment  body={""amount"": 49.99, ""method"": ""card""}",END,/payment,POST,,"{""amount"": 49.99, ""method"": ""card""}",new_visitor,desktop,0,True
5,1,GET /products,GET /products?id=33,/products,GET,,,returner,desktop,8,False
5,2,GET /products?id=33,GET /cart?product_id=33,/products,GET,id=33,,returner,desktop,8,False
5,3,GET /cart?product_id=33,END,/cart,GET,product_id=33,,returner,desktop,8,True
6,1,GET /products/filter,"POST /products/filter  body={""gender"":""male"",""category"":""skirt"",""price"":""high""}",/products/filter,GET,,,returner,mobile,11,False
6,2,"POST /products/filter  body={""gender"":""male"",""category"":""skirt"",""price"":""high""}",GET /products,/products/filter,POST,,"{""gender"":""male"",""category"":""skirt"",""price"":""high""}",returner,mobile,11,False
6,3,GET /products,"POST /products/filter  body={""gender"":""male"",""category"":""skirt""}",/products,GET,,,returner,mobile,11,False
6,4,"POST /products/filter  body={""gender"":""male"",""category"":""skirt""}",GET /products?id=110,/products/filter,POST,,"{""gender"":""male"",""category"":""skirt""}",returner,mobile,11,False
6,5,GET /products?id=110,GET /cart?product_id=110,/products,GET,id=110,,returner,mobile,11,False
6,6,GET /cart?product_id=110,END,/cart,GET,product_id=110,,returner,mobile,11,True
7,1,GET /products,GET /products?id=22,/products,GET,,,new_visitor,mobile,12,False
7,2,GET /products?id=22,GET /reviews?product_id=22,/products,GET,id=22,,new_visitor,mobile,12,False
7,3,GET /reviews?product_id=22,END,/reviews,GET,product_id=22,,new_visitor,mobile,12,True
8,1,GET /products,GET /products?id=47,/products,GET,,,new_visitor,desktop,18,False
8,2,GET /products?id=47,GET /cart?product_id=47,/products,GET,id=47,,new_visitor,desktop,18,False
8,3,GET /cart?product_id=47,END,/cart,GET,product_id=47,,new_visitor,desktop,18,True
9,1,GET /products,GET /products?id=101,/products,GET,,,buyer,desktop,2,False
9,2,GET /products?id=101,GET /products?id=15,/products,GET,id=101,,buyer,desktop,2,False
9,3,GET /products?id=15,GET /products?id=110,/products,GET,id=15,,buyer,desktop,2,False
9,4,GET /products?id=110,GET /cart?product_id=110,/products,GET,id=110,,buyer,desktop,2,False
9,5,GET /cart?product_id=110,END,/cart,GET,product_id=110,,buyer,desktop,2,True
10,1,GET /products,GET /products?id=47,/products,GET,,,buyer,tablet,8,False
10,2,GET /products?id=47,"POST /wishlist?product_id=47  body={""product_id"": 47}",/products,GET,id=47,,buyer,tablet,8,False
10,3,"POST /wishlist?product_id=47  body={""product_id"": 47}",GET /cart?product_id=47,/wishlist,POST,product_id=47,"{""product_id"": 47}",buyer,tablet,8,False
10,4,GET /cart?product_id=47,END,/cart,GET,product_id=47,,buyer,tablet,8,True
11,1,GET /home,GET /category?type=women,/home,GET,,,new_visitor,tablet,5,False
11,2,GET /category?type=women,GET /products?id=44,/category,GET,type=women,,new_visitor,tablet,5,False
11,3,GET /products?id=44,GET /cart?product_id=44,/products,GET,id=44,,new_visitor,tablet,5,False
11,4,GET /cart?product_id=44,END,/cart,GET,product_id=44,,new_visitor,tablet,5,True
12,1,GET /products?id=11,GET /cart?product_id=11,/products,GET,id=11,,returner,desktop,8,False
12,2,GET /cart?product_id=11,END,/cart,GET,product_id=11,,returner,desktop,8,True
13,1,GET /products,GET /products?id=101,/products,GET,,,browser,mobile,1,False
13,2,GET /products?id=101,GET /cart?product_id=101,/products,GET,id=101,,browser,mobile,1,False
13,3,GET /cart?product_id=101,GET /home,/cart,GET,product_id=101,,browser,mobile,1,False
13,4,GET /home,END,/home,GET,,,browser,mobile,1,True
14,1,GET /products,GET /products?id=33,/products,GET,,,indecisive,mobile,6,False
14,2,GET /products?id=33,GET /reviews?product_id=33,/products,GET,id=33,,indecisive,mobile,6,False
14,3,GET /reviews?product_id=33,GET /products?id=88,/reviews,GET,product_id=33,,indecisive,mobile,6,False
14,4,GET /products?id=88,GET /cart?product_id=88,/products,GET,id=88,,indecisive,mobile,6,False
14,5,GET /cart?product_id=88,END,/cart,GET,product_id=88,,indecisive,mobile,6,True
15,1,GET /search?q=men watch,GET /products?id=61,/search,GET,q=men watch,,returner,desktop,20,False
